Designator,Mid X,Mid Y,Rotation,Layer
C1,147.2,-102.4,180.0,top
C10,159.25,-103.25,0.0,top
C11,157.5,-113.5,270.0,top
C12,152.5,-100.75,90.0,top
C13,155.75,-100.75,90.0,top
C14,148.5,-113.5,90.0,top
C15,154.5,-113.5,270.0,top
C3,156.0,-113.5,270.0,top
C4,159.25,-106.25,0.0,top
C5,159.25,-104.75,0.0,top
C6,146.0,-110.0,90.0,top
C7,147.2,-103.9,0.0,top
C8,154.0,-100.75,90.0,top
D1,146.0,-113.5,270.0,top
R1,143.3,-97.75,0.0,top
R2,159.0,-113.5,90.0,top
R3,154.25,-97.5,90.0,top
R4,152.75,-97.5,90.0,top
R5,143.3,-96.25,0.0,top
R6,147.5,-110.0,270.0,top
SW1,143.5,-100.9,180.0,top
U1,152.9,-107.0,90.0,top
U2,143.5,-109.75,90.0,top
U3,148.3,-98.75,0.0,top
Y1,151.5,-113.5,180.0,top
